"Overpass_Time","NASA BT","Satellite","SDR BT","BT_Diff"
"2018-12-29 13:36:00",161.95,"NOAA-20",161.96,-0.005
"2012-01-23 15:42:00",162.78,"Suomi-NPP","NO DATA",
"2018-12-31 13:48:00",163.35,"Suomi-NPP",163.35,-0.002
"2019-11-30 04:18:00",163.84,"NOAA-20",163.82,0.020
"2018-12-01 04:42:00",163.9,"NOAA-20",163.90,-0.003
"2019-02-04 13:42:00",163.92,"NOAA-20",163.91,0.010
"2018-12-31 01:54:00",164.04,"NOAA-20",164.03,0.011
"2019-01-01 14:18:00",164.04,"NOAA-20",164.04,-0.004
"2018-12-11 15:54:00",164.07,"NOAA-20",164.07,0.002
"2013-01-19 12:30:00",164.16,"Suomi-NPP",164.18,-0.017
"2019-02-04 12:00:00",164.21,"NOAA-20",164.20,0.009
"2012-01-24 04:18:00",164.22,"Suomi-NPP","NO DATA",
"2020-01-27 15:30:00",164.58,"NOAA-20",164.58,-0.001
"2018-12-13 15:18:00",164.97,"NOAA-20",164.97,0.000
"2019-01-02 01:18:00",165.11,"NOAA-20","Not checked",
"2020-01-28 15:12:00",165.11,"NOAA-20","Not checked",
"2013-01-16 16:48:00",165.11,"Suomi-NPP","Not checked",
"2019-01-02 13:12:00",165.17,"Suomi-NPP","Not checked",
"2012-01-19 15:18:00",165.31,"Suomi-NPP","Not checked",
"2019-01-30 17:00:00",165.33,"NOAA-20","Not checked",
"2019-11-07 03:12:00",165.47,"NOAA-20","Not checked",
"2013-01-27 16:42:00",165.47,"Suomi-NPP","Not checked",
"2019-01-06 13:36:00",165.47,"Suomi-NPP","Not checked",
"2019-01-01 01:36:00",165.5,"NOAA-20","Not checked",
"2019-01-12 14:12:00",165.52,"NOAA-20","Not checked",
"2012-03-21 15:54:00",165.53,"Suomi-NPP","Not checked",
"2019-01-03 17:06:00",165.55,"NOAA-20","Not checked",
"2020-01-10 04:42:00",165.55,"NOAA-20","Not checked",
"2018-11-19 05:06:00",165.61,"NOAA-20","Not checked",
"2018-12-27 15:48:00",165.63,"NOAA-20","Not checked",
"2019-02-01 01:54:00",165.77,"NOAA-20","Not checked",
"2019-02-03 12:18:00",165.8,"NOAA-20","Not checked",
"2018-02-14 17:12:00",165.8,"Suomi-NPP","Not checked",
"2015-01-17 16:54:00",165.88,"Suomi-NPP","Not checked",
"2016-11-22 15:48:00",165.91,"Suomi-NPP","Not checked",
"2019-02-05 15:06:00",165.96,"NOAA-20","Not checked",
"2019-02-01 12:54:00",165.99,"NOAA-20","Not checked",
"2015-03-04 15:48:00",166.01,"Suomi-NPP","Not checked",
"2018-12-29 14:24:00",166.04,"Suomi-NPP","Not checked",
"2019-03-11 05:54:00",166.04,"Suomi-NPP","Not checked",
"2017-10-31 16:54:00",166.07,"Suomi-NPP","Not checked",
"2016-12-24 17:30:00",166.12,"Suomi-NPP","Not checked",
"2019-01-02 13:06:00",166.15,"Suomi-NPP","Not checked",
"2018-12-30 13:18:00",166.17,"NOAA-20","Not checked",
"2020-01-16 13:54:00",166.17,"NOAA-20","Not checked",
"2018-12-10 12:48:00",166.2,"NOAA-20","Not checked",
"2019-11-14 05:12:00",166.23,"Suomi-NPP","Not checked",
"2019-03-05 14:36:00",166.23,"NOAA-20","Not checked",
"2020-05-21 17:48:00",166.28,"NOAA-20","Not checked",
