"Time","Min","1pc","2pc","5pc","10pc","25pc","50pc","90pc","Max","Mean","Median","Std"
20181228000938,193.487,195.786,196.661,198.156,199.305,201.411,203.631,207.210,207.971,203.451,203.631,2.998
20181228001938,192.965,195.587,196.615,198.039,199.192,201.303,203.631,207.114,207.971,203.372,203.631,3.007
20181228002937,194.640,196.244,196.975,198.039,199.078,201.248,203.734,207.018,207.971,203.367,203.734,2.935
20181228003937,192.302,195.520,196.494,198.039,199.305,201.411,203.940,207.114,207.971,203.483,203.940,3.008
20181228004936,190.943,194.975,195.762,197.451,199.078,201.411,203.940,207.114,207.971,203.434,203.940,3.113
20181228005936,193.096,195.142,195.762,197.095,198.734,201.303,203.734,207.114,207.971,203.308,203.734,3.190
20181228010935,187.929,195.142,195.762,196.975,198.388,200.976,203.631,207.114,207.971,203.113,203.631,3.280
20181228011934,189.249,193.649,195.017,196.494,198.039,200.646,203.528,207.114,207.971,202.972,203.528,3.479
20181228012934,190.804,192.833,193.996,195.762,197.333,200.426,203.528,207.210,207.971,202.809,203.528,3.720
20181228013933,186.096,192.568,193.357,194.892,196.736,200.092,203.216,207.114,207.971,202.536,203.216,3.946
20181228014933,189.536,191.594,193.030,194.387,196.008,199.418,203.008,207.114,207.971,202.268,203.008,4.138
20181228015932,187.479,190.804,192.033,194.259,195.639,199.078,202.903,207.114,207.971,202.094,202.903,4.325
20181228020932,187.479,190.541,191.628,193.746,195.515,198.734,202.798,207.018,207.971,201.900,202.798,4.421
20181228021931,188.668,190.665,191.628,193.617,195.267,198.504,202.587,207.018,207.971,201.690,202.587,4.393
20181228022930,188.814,191.081,191.899,193.487,195.142,198.504,202.376,206.970,207.971,201.636,202.376,4.407
20181228023930,188.959,191.492,192.302,193.617,195.142,198.504,202.163,206.922,207.971,201.618,202.163,4.366
20181228024929,189.679,191.763,192.568,194.132,195.515,198.734,202.269,207.018,207.971,201.734,202.269,4.257
20181228025929,190.386,192.435,193.096,194.387,195.762,198.963,202.376,206.922,207.971,201.856,202.376,4.088
20181228030928,190.526,192.701,193.357,194.640,196.130,199.192,202.587,206.835,207.971,201.997,202.587,3.972
20181228031928,191.355,193.096,193.746,194.892,196.373,199.418,202.798,206.922,207.971,202.207,202.798,3.917
20181228032927,190.526,193.746,194.132,195.142,196.373,199.418,203.008,207.018,207.971,202.296,203.008,3.893
20181228033926,189.679,193.675,194.387,195.391,196.615,199.418,202.903,207.114,207.971,202.345,202.903,3.853
20181228034926,189.249,193.487,194.468,195.639,196.856,199.418,202.798,207.018,207.971,202.265,202.798,3.793
20181228035925,183.168,191.763,192.965,195.515,196.856,199.305,202.693,206.922,207.971,202.097,202.693,3.964
