"Time","Min","1pc","2pc","5pc","10pc","25pc","50pc","90pc","Max","Mean","Median","Std"
20181228010004,195.600,196.600,197.400,198.435,199.670,202.100,204.400,207.400,207.900,203.939,204.400,2.889
20181228020004,190.700,191.433,191.866,194.355,196.100,198.975,202.150,206.900,207.900,201.738,202.150,4.125
20181228024504,192.000,192.800,193.542,194.500,195.700,198.725,202.100,206.890,207.900,201.694,202.100,4.069
20181228030004,192.200,193.209,193.700,194.700,196.000,199.125,202.500,206.800,207.900,201.961,202.500,3.971
20181228031504,192.900,194.000,194.500,195.400,196.500,199.675,202.800,206.900,207.900,202.279,202.800,3.746
20181228040004,192.500,194.300,195.100,197.400,198.300,200.100,203.300,207.000,207.900,202.802,203.300,3.363
20181228050004,191.000,192.076,192.800,194.700,197.400,201.300,204.000,207.300,207.900,203.206,204.000,3.854
20181228054504,191.000,191.950,192.800,195.300,199.100,201.500,203.950,207.400,207.900,203.475,203.950,3.680
20181228060004,191.500,192.192,192.700,195.920,200.220,202.400,204.600,207.500,207.900,203.900,204.600,3.502
20181228061504,190.200,192.656,193.900,195.400,200.500,203.100,204.900,207.400,207.900,204.197,204.900,3.330
20181228070004,188.300,189.199,190.192,194.690,198.880,202.800,205.200,207.400,207.900,203.898,205.200,4.028
20181228080004,186.900,187.380,189.400,191.250,193.700,198.300,203.100,207.200,207.900,201.605,203.100,5.185
20181228084504,190.100,190.400,190.752,191.400,192.100,196.750,201.400,207.100,207.900,200.620,201.400,5.304
20181228090004,191.000,191.733,192.066,192.465,192.900,195.725,201.700,206.900,207.900,200.737,201.700,5.140
20181228091504,188.300,189.854,190.816,193.040,193.700,195.650,202.100,206.900,207.900,200.901,202.100,5.161
20181228100004,183.700,184.400,185.916,187.400,190.500,193.925,199.700,206.900,207.900,199.140,199.700,6.456
20181228110004,183.000,184.710,186.288,188.120,189.200,192.100,197.300,206.300,207.900,197.363,197.300,6.315
20181228114504,184.200,184.700,185.700,186.700,187.800,191.100,194.800,205.400,207.900,195.885,194.800,6.362
20181228120004,182.300,184.468,184.900,185.900,186.900,190.100,194.500,205.200,207.900,195.183,194.500,6.470
20181228121504,181.300,183.714,184.614,185.700,187.000,190.050,194.400,204.500,207.900,194.993,194.400,6.297
20181228130004,181.300,184.332,185.264,186.460,187.500,190.100,194.900,204.000,207.900,195.329,194.900,6.083
20181228140004,182.600,185.400,186.168,187.200,188.400,190.700,195.600,204.500,207.800,196.001,195.600,6.070
20181228144504,180.200,182.100,182.600,184.400,186.900,192.000,196.800,205.600,207.900,196.665,196.800,6.684
20181228150004,181.500,182.800,183.500,184.900,187.000,192.700,197.200,206.000,207.900,197.106,197.200,6.725
20181228151504,181.100,183.986,184.544,185.700,187.800,192.800,197.300,205.800,207.900,197.243,197.300,6.479
20181228160004,182.100,183.900,184.992,187.230,189.500,194.500,199.400,206.100,207.900,198.456,199.400,6.053
20181228170004,184.200,187.500,188.600,192.000,193.600,198.850,202.300,206.800,207.900,201.332,202.300,5.030
20181228174504,189.800,192.412,193.796,195.660,197.000,199.400,203.200,207.200,207.900,202.473,203.200,3.971
20181228180004,193.700,194.884,195.300,196.500,197.700,199.800,203.100,207.000,207.900,202.621,203.100,3.516
20181228181504,184.400,191.372,195.004,196.200,197.700,200.100,202.900,206.960,207.900,202.518,202.900,3.704
20181228190004,184.000,185.200,185.600,188.000,194.800,199.025,202.800,207.300,207.900,201.563,202.800,5.449
20181228200004,189.100,189.500,189.900,190.400,191.400,198.500,202.400,207.300,207.900,201.218,202.400,5.376
20181228204504,191.700,192.598,193.132,194.000,194.700,199.400,202.900,207.300,207.900,202.080,202.900,4.404
20181228210004,191.000,193.500,193.900,194.900,195.600,199.700,203.100,207.100,207.900,202.197,203.100,4.126
20181228211504,188.000,189.900,192.052,195.200,196.300,199.075,203.200,207.000,207.900,202.210,203.200,4.152
20181228220004,189.100,190.700,191.400,192.475,193.950,198.875,202.850,207.450,207.900,201.917,202.850,4.968
20181228230004,188.100,188.900,189.100,189.900,192.200,197.325,202.300,207.110,207.900,201.037,202.300,5.469
20181228234504,186.700,187.654,188.000,189.200,190.640,196.200,201.700,207.100,207.900,200.328,201.700,5.941
20181229000004,186.400,187.104,187.508,188.900,190.500,196.000,201.200,206.880,207.900,199.941,201.200,5.900
20181229001504,186.900,187.800,188.000,189.100,190.800,195.100,200.100,207.100,207.900,199.616,200.100,5.848
20181229010004,188.300,189.396,189.700,190.700,191.800,195.200,199.800,206.520,207.900,199.609,199.800,5.390
20181229020004,185.700,188.000,189.198,190.500,192.100,196.000,200.500,206.810,207.900,200.043,200.500,5.413
20181229024504,188.300,189.264,189.800,191.800,193.300,196.100,200.600,206.200,207.900,199.993,200.600,4.779
20181229030004,189.700,190.800,191.500,192.280,193.700,196.700,201.200,206.600,207.900,200.456,201.200,4.729
20181229031504,192.200,192.700,192.900,193.600,194.750,197.700,201.700,206.800,207.900,201.230,201.700,4.390
20181229040004,190.800,193.886,194.400,195.610,196.620,198.700,201.600,207.100,207.900,201.752,201.600,3.875
20181229050004,185.200,187.200,188.392,190.960,194.060,198.900,202.200,206.740,207.900,201.262,202.200,4.862
20181229054504,185.700,188.355,189.700,191.000,193.210,197.075,201.600,206.800,207.900,200.664,201.600,5.084
