"Time","Min","1pc","2pc","5pc","10pc","25pc","50pc","90pc","Max","Mean","Median","Std"
20181228145021,176.273,180.554,181.975,183.787,186.073,192.688,197.242,205.853,207.991,196.864,197.242,6.985
20181228150021,179.241,181.975,182.892,184.372,186.211,193.038,197.242,205.853,207.991,196.934,197.242,6.814
20181228151021,181.192,182.741,183.491,184.818,186.759,193.154,197.661,205.590,207.991,197.137,197.661,6.570
20181228152021,179.241,183.787,184.516,185.934,187.833,193.154,198.386,205.590,207.991,197.548,198.386,6.322
20181228153021,179.073,184.947,185.655,186.895,188.620,193.616,198.795,205.766,207.991,198.003,198.795,6.100
20181228154021,182.129,185.934,186.623,187.833,189.263,194.185,199.401,206.115,207.991,198.527,199.401,5.964
20181228155021,183.639,186.486,187.434,188.620,189.897,194.411,199.999,206.375,207.991,198.975,199.999,5.874
20181228160021,185.090,187.300,187.966,189.391,190.767,194.859,200.492,206.461,207.991,199.425,200.492,5.714
20181228161021,186.211,187.966,188.620,189.897,191.377,195.522,201.173,206.548,207.991,199.938,201.173,5.560
20181228162021,187.568,188.749,189.353,190.520,191.918,196.175,201.748,206.805,207.991,200.444,201.748,5.445
20181228163021,187.568,189.897,190.520,191.377,192.570,196.712,202.317,206.977,207.991,200.906,202.317,5.260
20181228164021,188.229,191.134,191.618,192.570,193.501,197.031,202.505,207.062,207.991,201.291,202.505,5.011
20181228165021,188.620,192.216,192.688,193.501,194.524,197.242,202.692,207.232,207.991,201.596,202.692,4.725
20181228170021,190.022,192.922,193.501,194.298,195.412,197.870,202.785,207.232,207.991,201.853,202.785,4.435
20181228171021,191.739,193.501,194.185,195.192,196.283,198.693,202.598,207.147,207.991,202.119,202.598,4.085
20181228172021,186.895,194.072,194.859,195.850,196.829,199.301,202.832,207.062,207.991,202.382,202.832,3.824
20181228173021,185.373,192.650,194.859,196.283,197.452,199.801,202.878,207.232,207.991,202.492,202.878,3.794
20181228174021,186.349,190.767,193.386,196.283,197.766,200.098,202.692,207.062,207.991,202.440,202.692,3.742
20181228175021,186.759,191.255,193.501,195.958,197.766,200.296,202.971,206.977,207.991,202.532,202.971,3.674
20181228180021,182.892,191.377,193.558,195.522,197.242,200.296,203.341,207.062,207.991,202.637,203.341,3.853
20181228181021,181.350,183.491,186.244,194.970,197.136,200.197,203.617,207.147,207.991,202.467,203.617,4.605
20181228182021,181.975,182.741,183.342,188.846,196.175,199.602,203.525,207.232,207.991,202.008,203.525,5.540
20181228183021,180.714,183.043,183.491,184.947,194.524,199.401,202.878,207.317,207.991,201.413,202.878,6.128
20181228184021,178.050,182.436,183.046,184.516,189.148,198.489,201.939,207.147,207.991,200.594,201.939,6.494
20181228185021,179.073,182.129,182.835,184.226,186.363,197.661,201.557,206.720,207.991,199.825,201.557,6.819
20181228190021,180.714,181.820,182.589,184.080,186.073,196.605,201.557,206.461,207.991,199.357,201.557,7.053
20181228191021,181.192,182.589,183.193,184.516,185.934,196.390,201.173,206.634,207.991,199.137,201.173,7.122
20181228192020,182.129,183.342,184.226,185.232,186.211,194.859,200.979,206.720,207.991,198.991,200.979,7.131
20181228193020,182.741,184.080,184.947,186.073,186.895,194.185,201.173,206.720,207.991,199.066,201.173,7.047
20181228194020,184.372,185.794,186.211,187.031,187.833,194.185,201.365,206.891,207.991,199.243,201.365,6.842
20181228195020,185.090,187.434,187.833,188.359,189.007,194.185,201.269,206.805,207.991,199.500,201.269,6.488
20181228200020,186.211,188.359,188.878,189.771,190.520,193.845,201.461,206.891,207.991,199.717,201.461,6.115
20181228201020,187.568,189.007,189.639,191.012,191.858,194.298,201.653,206.891,207.991,200.105,201.653,5.729
20181228202020,188.620,189.897,190.520,191.978,193.154,194.970,201.653,206.891,207.991,200.449,201.653,5.366
20181228203020,186.623,190.643,191.255,192.922,194.185,195.958,201.748,206.977,207.991,200.828,201.748,4.995
20181228204020,186.623,191.134,191.739,193.270,194.636,197.136,201.844,207.062,207.991,201.151,201.844,4.707
20181228205020,180.874,191.761,192.453,193.730,195.302,197.973,202.033,206.977,207.991,201.450,202.033,4.515
20181228210020,178.565,185.236,190.279,194.185,195.632,198.693,202.505,206.977,207.991,201.701,202.505,4.712
20181228211020,178.735,184.226,186.073,190.625,195.632,199.326,202.785,207.062,207.991,201.706,202.785,5.208
20181228212020,181.975,184.804,185.794,187.833,193.535,198.897,202.692,207.232,207.991,201.480,202.692,5.689
20181228213020,184.661,186.623,187.166,188.749,190.643,197.057,202.785,207.317,207.991,200.846,202.785,6.006
20181228214020,186.759,188.359,188.749,189.518,190.767,194.636,202.505,207.062,207.991,200.176,202.505,6.124
20181228215020,184.947,188.749,189.391,190.272,191.498,193.958,200.979,207.147,207.991,199.904,200.979,6.156
20181228220020,177.526,187.919,188.878,190.396,191.498,194.072,199.099,207.232,207.991,199.288,199.099,6.157
20181228221020,179.407,184.947,186.759,189.771,191.134,193.845,197.661,206.891,207.991,198.563,197.661,6.063
20181228222020,181.507,185.794,186.759,189.645,191.618,193.730,197.557,206.891,207.991,198.503,197.557,5.910
20181228223020,176.090,185.794,186.895,189.007,191.739,194.411,197.870,206.461,207.991,198.478,197.870,5.707
20181228224020,183.043,185.934,186.623,188.229,190.396,194.636,198.489,206.461,207.991,198.557,198.489,5.834
20181228225020,181.664,186.349,187.085,188.097,190.022,194.298,198.180,206.375,207.991,198.328,198.180,5.868
20181228230020,178.222,186.349,187.031,187.966,189.518,193.730,198.386,206.115,207.991,198.266,198.386,5.993
20181228231020,182.436,185.655,186.486,187.568,189.007,193.501,198.897,206.202,207.991,198.218,198.897,6.134
20181228232020,184.372,186.073,186.486,187.833,189.135,192.570,198.998,206.202,207.991,198.019,198.998,6.171
20181228233020,184.661,185.934,186.486,187.833,189.518,192.805,198.897,205.941,207.991,198.098,198.897,6.093
20181228234020,185.373,186.211,186.759,187.833,189.645,193.501,199.200,205.678,207.991,198.284,199.200,5.994
20181228235020,184.804,186.211,186.623,188.097,189.771,194.072,199.502,205.941,207.991,198.575,199.502,5.991
20181229000020,180.874,186.211,187.031,188.229,189.771,194.411,199.602,206.202,207.991,198.799,199.602,5.983
20181229001020,181.350,186.895,187.300,188.490,189.897,194.524,199.602,206.461,207.991,198.934,199.602,5.948
20181229002020,183.342,186.211,187.300,188.490,190.172,194.524,199.401,206.634,207.991,198.848,199.401,5.959
20181229003020,183.934,186.623,187.568,188.749,190.520,194.636,198.795,206.461,207.991,198.668,198.795,5.699
20181229004020,183.934,187.166,188.097,189.391,191.134,194.859,199.099,206.115,207.991,198.839,199.099,5.428
20181229005020,185.232,187.568,188.749,190.272,191.858,195.412,199.401,206.028,207.991,199.145,199.401,5.196
20181229010020,185.090,187.701,188.620,190.889,192.570,195.741,199.801,206.028,207.991,199.486,199.801,5.062
20181229011020,181.975,186.895,188.210,190.520,192.688,195.850,199.950,206.202,207.991,199.588,199.950,5.153
20181229012020,182.589,186.895,188.097,189.771,191.858,195.958,200.197,206.375,207.991,199.663,200.197,5.326
20181229013020,182.283,186.759,187.434,189.391,191.255,196.175,200.296,206.384,207.991,199.619,200.296,5.498
20181229014020,177.876,187.434,187.833,189.135,191.134,195.958,200.492,206.548,207.991,199.675,200.492,5.578
20181229015020,183.639,187.568,188.229,189.518,191.739,195.850,200.197,206.548,207.991,199.592,200.197,5.430
20181229020020,181.192,187.701,188.490,190.396,192.216,195.850,200.296,206.375,207.991,199.672,200.296,5.286
20181229021020,185.090,187.434,188.490,190.272,192.570,196.175,200.590,206.288,207.991,199.938,200.590,5.190
20181229022020,186.073,188.490,189.263,190.889,193.038,196.818,200.979,206.720,207.991,200.333,200.979,5.049
20181229023020,187.434,189.505,190.147,191.498,193.501,197.136,201.173,206.548,207.991,200.542,201.173,4.801
20181229025021,186.895,191.488,192.216,193.730,195.192,198.077,201.748,206.720,207.991,201.340,201.748,4.309
20181229030021,191.255,192.688,193.270,194.524,195.741,198.795,201.748,206.891,207.991,201.680,201.748,4.099
20181229031021,192.570,193.958,194.524,195.412,196.498,199.301,202.223,207.062,207.991,202.029,202.223,3.824
20181229032021,193.386,195.192,195.632,196.390,197.242,199.701,202.598,207.062,207.991,202.358,202.598,3.493
20181229033021,188.229,195.850,196.498,197.452,198.489,200.590,203.157,207.062,207.991,202.904,203.157,3.171
20181229034021,186.486,195.226,196.605,198.180,199.200,201.173,203.525,207.147,207.991,203.258,203.525,3.111
20181229035021,187.701,194.674,196.712,198.077,199.502,201.653,203.800,207.147,207.991,203.503,203.800,3.049
20181229040021,188.490,193.501,195.192,197.452,199.200,201.844,204.163,207.232,207.991,203.604,204.163,3.232
20181229041021,187.701,194.064,195.192,196.605,198.386,201.461,204.254,207.402,207.991,203.513,204.254,3.488
20181229042021,187.568,192.688,194.072,196.390,197.766,200.688,204.163,207.317,207.991,203.200,204.163,3.724
20181229043021,186.759,189.771,191.012,194.411,197.400,200.197,203.708,207.317,207.991,202.781,203.708,4.224
20181229044020,186.486,189.636,190.396,192.453,195.302,199.502,202.598,207.147,207.991,201.953,202.598,4.563
20181229045020,184.516,189.391,190.520,191.858,193.958,198.591,202.033,207.113,207.991,201.429,202.033,4.754
20181229050020,183.787,189.007,190.396,191.678,193.501,198.077,201.748,206.891,207.991,201.012,201.748,4.869
20181229051020,181.507,189.135,190.316,191.858,193.386,197.242,201.653,206.805,207.991,200.816,201.653,4.955
20181229052020,181.820,188.091,189.771,191.858,193.501,196.818,201.653,206.805,207.991,200.717,201.653,5.068
20181229053020,182.892,189.391,190.185,191.858,193.386,196.925,201.461,206.805,207.991,200.694,201.461,5.002
20181229054020,183.043,189.043,191.255,192.653,193.958,197.031,201.076,206.634,207.991,200.589,201.076,4.798
20181229055020,183.934,188.749,191.498,193.270,194.524,197.347,200.785,206.720,207.991,200.640,200.785,4.581
20181229060020,185.934,189.615,191.923,193.501,194.747,197.766,200.688,206.720,207.991,200.790,200.688,4.426
20181229061020,188.749,191.134,192.688,194.072,195.302,197.973,200.979,206.548,207.991,200.908,200.979,4.138
20181229062020,181.820,189.078,192.805,194.524,195.741,197.973,201.076,206.548,207.991,200.935,201.076,4.119
20181229063020,185.655,190.272,192.285,194.859,196.283,198.283,201.269,206.288,207.991,201.132,201.269,3.929
20181229064020,183.639,190.684,192.805,194.747,196.605,198.897,201.557,206.634,207.991,201.487,201.557,3.902
20181229065020,189.645,192.688,194.072,195.412,197.031,199.502,202.033,206.634,207.991,201.863,202.033,3.607
20181229070020,185.934,193.386,194.970,196.390,197.870,200.394,202.692,206.805,207.991,202.474,202.692,3.412
20181229071020,184.080,194.970,195.850,197.242,198.489,201.173,203.525,206.977,207.991,203.087,203.525,3.210
20181229072020,186.486,192.334,194.185,197.347,198.998,201.653,204.344,207.147,207.991,203.489,204.344,3.387
20181229073020,178.904,190.989,193.616,196.605,198.897,201.939,204.703,207.402,207.991,203.705,204.703,3.784
20181229074020,178.565,186.623,190.396,195.302,197.973,201.844,204.614,207.402,207.991,203.446,204.614,4.289
20181229075020,177.876,183.326,186.486,192.570,196.283,200.882,204.073,207.402,207.991,202.722,204.073,5.058
20181229080020,179.073,183.834,185.181,188.490,193.178,199.502,203.891,207.402,207.991,201.902,203.891,5.898
20181229081020,179.739,183.934,185.455,188.097,190.767,197.557,203.249,207.317,207.991,201.123,203.249,6.304
20181229082020,182.436,184.516,185.514,187.300,190.272,196.283,202.223,207.232,207.991,200.434,202.223,6.379
20181229083020,182.129,185.655,186.211,187.833,190.272,195.302,201.653,207.062,207.991,200.056,201.653,6.313
20181229084020,182.129,186.073,186.623,188.097,190.022,194.636,200.785,206.977,207.991,199.548,200.785,6.279
20181229085020,182.436,186.623,187.300,188.359,190.047,194.298,200.098,206.891,207.991,199.186,200.098,6.155
20181229090020,177.702,186.349,187.300,189.007,190.767,194.185,199.200,206.548,207.991,198.888,199.200,5.915
20181229091020,177.876,184.947,186.486,188.620,190.668,194.411,198.897,206.461,207.991,198.715,198.897,5.925
20181229092020,178.050,184.661,186.073,188.359,190.396,194.298,198.897,206.375,207.991,198.600,198.897,5.950
20181229093020,178.394,184.808,186.073,188.229,190.272,194.185,198.897,206.202,207.991,198.471,198.897,5.887
20181229094020,177.876,184.516,186.073,188.097,190.272,193.730,198.897,205.941,207.991,198.265,198.897,5.883
20181229095020,174.970,183.491,185.232,187.300,189.391,193.616,198.386,205.766,207.991,197.936,198.386,6.079
20181229100020,174.202,179.241,181.820,186.759,189.135,193.270,197.973,205.853,207.991,197.585,197.973,6.478
20181229101020,176.273,179.073,180.230,184.516,188.359,192.805,197.661,205.678,207.991,197.112,197.661,6.733
20181229102020,175.348,179.573,180.554,183.193,187.568,192.216,197.242,205.414,207.991,196.678,197.242,6.809
20181229103020,174.588,179.573,180.874,183.193,186.349,191.858,196.818,205.238,207.991,196.305,196.818,6.951
20181229104020,174.396,179.073,180.554,183.095,185.934,191.255,196.498,205.238,207.991,195.969,196.498,7.127
20181229105020,174.780,178.985,180.230,182.892,185.655,190.643,196.067,205.238,207.991,195.671,196.067,7.256
20181229110020,175.159,179.739,181.034,183.043,185.514,190.147,195.632,205.414,207.991,195.465,195.632,7.233
20181229111020,174.396,180.230,181.192,183.193,185.373,189.518,195.192,205.149,207.991,195.148,195.192,7.173
20181229112020,173.216,180.392,181.192,182.892,185.514,189.263,195.081,204.614,207.991,194.886,195.081,7.103
20181229113020,176.636,179.407,180.714,182.892,185.514,189.135,194.747,204.703,207.991,194.750,194.747,7.131
20181229114020,174.588,179.407,180.554,182.741,185.090,189.135,194.747,204.703,207.991,194.646,194.747,7.201
20181229115020,173.614,178.050,180.230,183.043,184.804,188.878,194.636,204.703,207.991,194.593,194.636,7.310
20181229120020,172.404,177.526,179.241,182.741,184.947,188.878,194.636,204.614,207.991,194.573,194.636,7.408
20181229121020,172.609,176.635,178.735,182.283,185.232,188.878,194.859,204.614,207.991,194.592,194.859,7.492
20181229122020,173.015,175.535,178.222,181.820,185.090,189.007,194.747,204.882,207.991,194.663,194.747,7.614
20181229123020,173.015,175.535,177.350,181.350,184.804,189.135,194.747,204.971,207.991,194.697,194.747,7.732
20181229124020,172.198,175.348,177.002,180.230,184.372,189.263,194.970,205.060,207.991,194.713,194.970,7.885
20181229125020,172.404,175.535,176.995,179.573,183.446,189.135,195.302,205.238,207.991,194.674,195.302,8.093
20181229130020,173.015,175.348,176.816,179.241,182.436,188.749,195.302,205.238,207.991,194.530,195.302,8.277
20181229131020,172.813,175.906,177.173,179.073,182.129,188.359,195.412,205.326,207.991,194.491,195.412,8.423
20181229132020,173.614,176.273,177.350,178.904,181.820,188.097,195.302,205.238,207.991,194.391,195.302,8.498
20181229133020,171.572,176.273,177.350,179.241,181.664,187.701,195.192,205.149,207.991,194.335,195.192,8.565
20181229134020,173.216,176.090,177.173,179.573,181.820,187.434,195.081,205.326,207.991,194.254,195.081,8.636
20181229135020,173.216,175.906,176.635,179.573,181.664,186.895,194.747,205.238,207.991,194.003,194.747,8.656
20181229140020,173.811,176.090,176.816,178.904,181.664,186.759,194.524,205.060,207.991,193.732,194.524,8.614
20181229141020,174.396,176.455,177.173,178.735,181.350,186.759,193.958,204.971,207.991,193.497,193.958,8.571
20181229142020,174.970,177.173,177.702,178.904,181.192,186.623,193.501,204.703,207.991,193.276,193.501,8.473
20181229143020,174.588,177.702,178.222,179.407,181.192,186.349,193.270,204.434,207.991,193.180,193.270,8.405
