Time,Min,1pc,2pc,5pc,10pc,25pc,50pc,90pc,Max,Mean,Median,Std
20181227220038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181227220338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181227220638,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181227234137,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228103532,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228103832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228213727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228214027,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228231527,178.40002,182.50001525878906,183.65840454101564,185.260009765625,186.44000244140625,189.30001831054688,194.11001586914062,204.87001037597656,207.99002,194.7099,194.11002,6.6227455
20181228231827,201.40001,201.96002197265625,202.2450180053711,202.74251556396484,203.58501434326172,204.94000244140625,206.2450180053711,207.67001342773438,207.99002,205.92038,206.24503,1.5385737
20181229100922,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229101222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229115021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229115321,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229225216,176.62001,182.11001586914062,183.07000732421875,185.04000854492188,187.95001220703125,192.08001708984375,198.760009765625,206.32000732421875,207.99002,197.75537,198.76001,7.020954
20181229225516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230112410,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230112710,177.95001,188.91000366210938,190.05001831054688,191.69000244140625,193.53900909423828,196.58001708984375,200.50001525878906,206.43002319335938,207.99002,200.15395,200.50002,4.832859
20181230222305,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230222605,197.02002,197.4644125366211,197.87001037597656,199.06351776123046,199.70001220703125,202.4700164794922,204.32000732421875,207.3800048828125,207.99002,203.95465,204.32,2.6667995
20181230222905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231105800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231110100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231215654,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231215954,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231220254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231233753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231234053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20190101103149,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20190101103449,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181227120313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181227120613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181227230208,192.13,193.44860900878905,194.47361450195314,195.93301849365236,197.22401428222656,199.28001403808594,202.85000610351562,207.4660186767578,207.96002,202.55202,202.85,4.057245
20181227230508,189.32,192.76811538696288,193.9166101074219,196.5600128173828,198.00001525878906,200.43750762939453,203.58501434326172,207.23001098632812,207.99002,202.95457,203.58502,3.627724
20181228113702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228114002,173.92001,180.260009765625,182.16000366210938,183.96002197265625,185.3800048828125,188.11001586914062,194.8900146484375,206.70201416015627,207.99002,195.64444,194.89001,8.2691555
20181228223557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181228223857,171.84001,182.510009765625,184.67001342773438,186.8900146484375,189.22401428222656,192.79000854492188,199.23001098632812,206.44000244140625,207.99002,198.17998,199.23001,6.690765
20181228224157,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229111051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229111352,170.99002,179.05001831054688,180.33001708984375,182.41000366210938,184.6400146484375,188.99002075195312,194.760009765625,205.12001037597656,207.99002,194.73761,194.76001,7.435497
20181229220946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229221246,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181229221546,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230104441,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230104741,193.98001,195.760009765625,196.21002197265625,197.3400115966797,198.78001403808594,201.55001831054688,204.44000244140625,207.41000366210938,207.99002,203.70992,204.44,3.2260628
20181230214636,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230214936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181230232434,188.40002,190.71002197265625,191.86300903320313,192.77501068115237,194.2220199584961,197.60751342773438,201.68002319335938,207.27101440429686,207.98001,201.25832,201.68002,4.789071
20181230232734,199.56001,200.89460800170897,200.99681579589844,201.48001098632812,201.99902038574217,202.71002197265625,203.8900146484375,207.42001342773438,207.99002,204.36987,203.89001,2.0398726
20181231101830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231102130,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231115929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231120229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20181231225824,184.02002,193.08761291503905,193.46561157226563,194.20802001953123,195.30201110839843,197.96002197265625,201.4700164794922,206.8900146484375,207.99002,201.32655,201.47002,4.2346926
20181231230124,187.13,190.33201293945314,191.78801879882812,194.36001586914062,196.29000854492188,199.48001098632812,202.71002197265625,207.24002075195312,207.99002,202.11646,202.71002,4.2267456
20181231230424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20190101113318,200.62001,201.46102142333984,201.4970199584961,202.05001831054688,202.75501251220703,203.42251586914062,204.19000244140625,206.66500854492188,207.88,204.47284,204.19,1.5142446
20190101113618,180.96002,191.62860565185545,194.16000366210938,197.35000610351562,199.11001586914062,201.0900115966797,203.1400146484375,206.9770126342774,207.99002,202.92188,203.14001,3.3300824
